Wall time,Step,Value
1700600937.5437474,0,0.6650314927101135
1700600968.5561473,20,0.5441877245903015
1700601000.3955197,40,0.5153484344482422
1700601032.8163645,60,0.5085817575454712
1700601065.1318164,80,0.5106923580169678
1700601097.3499925,100,0.4772108495235443
1700601130.1166968,120,0.47429466247558594
1700601162.3310773,140,0.4732547998428345
1700601194.5345232,160,0.4599961042404175
1700601226.843524,180,0.4416886568069458
1700601259.7888865,200,0.42004311084747314
1700601292.493034,220,0.4200270175933838
1700601325.0211737,240,0.3961246609687805
1700601357.9781823,260,0.38976621627807617
1700601390.3315196,280,0.38079482316970825
1700601422.8444915,300,0.36077624559402466
1700601455.3411171,320,0.3503943979740143
1700601488.2055037,340,0.33927449584007263
1700601520.616318,360,0.31791722774505615
1700601553.0515053,380,0.30060410499572754
1700601585.1424108,400,0.2910962700843811
1700601617.655531,420,0.2703759968280792
1700601650.329345,440,0.25852352380752563
1700601691.0146987,460,0.26154831051826477
1700601722.6351738,480,0.24637152254581451
1700601785.1149569,500,0.23115617036819458
1700601815.814403,520,0.21158207952976227
1700601848.0125744,540,0.2120867669582367
1700601880.2259214,560,0.1900283694267273
1700601912.1160014,580,0.19212521612644196
1700601945.0428095,600,0.17808404564857483
1700601977.7081778,620,0.17279043793678284
1700602009.8033898,640,0.16308537125587463
1700602044.6548738,660,0.15564030408859253
1700602077.4984322,680,0.14366576075553894
1700602109.8852324,700,0.14594319462776184
1700602142.210666,720,0.1371079385280609
1700602174.8618128,740,0.12817677855491638
1700602207.238153,760,0.12157317250967026
1700602239.3686206,780,0.11991401761770248
1700602272.1781614,800,0.11230773478746414
1700602304.6483047,820,0.10995873808860779
1700602336.7430644,840,0.10709714889526367
1700602368.692752,860,0.09568589925765991
1700602400.9356365,880,0.09952856600284576
1700602432.999208,900,0.09606721997261047
1700602476.5908844,920,0.08833484351634979
1700602508.1001618,940,0.08575208485126495
1700602540.0738037,960,0.08206837624311447
1700602572.2228317,980,0.07770714163780212
1700602635.0714061,1000,0.07421068847179413
1700602665.4577014,1020,0.07413075119256973
1700602697.8290071,1040,0.07084105908870697
1700602729.7428198,1060,0.07231201976537704
1700602761.953116,1080,0.0638778805732727
1700602793.8707669,1100,0.06648021936416626
1700602825.9652224,1120,0.06408296525478363
1700602858.465528,1140,0.06142878904938698
1700602890.4407303,1160,0.054606929421424866
1700602922.9438822,1180,0.05722557008266449
1700602956.3201342,1200,0.05519332364201546
1700602988.7393932,1220,0.053436897695064545
1700603020.9031684,1240,0.05188986659049988
1700603053.1930082,1260,0.04878842458128929
1700603085.5542805,1280,0.05058272182941437
1700603117.7582145,1300,0.04767593741416931
1700603149.741259,1320,0.04737647622823715
1700603182.330798,1340,0.04842909052968025
1700603219.6239922,1360,0.04484519734978676
1700603250.469001,1380,0.04423760622739792
1700603281.1911354,1400,0.04099889099597931
1700603312.8926091,1420,0.042935408651828766
1700603343.8370936,1440,0.04145430028438568
1700603375.4601696,1460,0.04140741750597954
1700603406.5533857,1480,0.0402253158390522
1700603582.0206137,1480,0.04132063314318657
1700603643.0567183,1500,0.03708936274051666
1700603673.1471934,1520,0.038218095898628235
1700603705.4333541,1540,0.0374179407954216
1700603737.6996074,1560,0.03651391342282295
1700603769.7774734,1580,0.03734457120299339
1700603803.0069654,1600,0.03768568113446236
1700603835.6884577,1620,0.03536231070756912
1700603868.6985066,1640,0.03587793931365013
1700603901.4489832,1660,0.03194538131356239
1700603934.0835407,1680,0.03667498752474785
1700603966.7147505,1700,0.03577577322721481
1700603999.2591255,1720,0.034274112433195114
1700604031.5522199,1740,0.03245546668767929
1700604064.6947045,1760,0.034076299518346786
1700604097.329921,1780,0.03216284513473511
1700604129.8815782,1800,0.03010471910238266
1700604162.5275795,1820,0.03442051261663437
1700604195.0720186,1840,0.03223120793700218
1700604227.45815,1860,0.03225480765104294
1700604259.929372,1880,0.030326474457979202
1700604292.8557584,1900,0.031019901856780052
1700604325.294887,1920,0.030252236872911453
1700604366.584721,1940,0.03477277234196663
1700604398.5210896,1960,0.03353825584053993
1700604431.6914177,1980,0.031547002494335175
1700604504.6878567,2000,0.03019697405397892
1700604536.374663,2020,0.03318658843636513
1700604569.9293635,2040,0.029070740565657616
1700604603.667787,2060,0.033714402467012405
1700604636.5321255,2080,0.03151065111160278
1700604670.4920669,2100,0.03125516325235367
1700604703.3660808,2120,0.030135851353406906
1700604736.3560867,2140,0.02972721867263317
1700604768.9356973,2160,0.02854488231241703
1700604801.4347568,2180,0.03294655680656433
1700604834.12842,2200,0.03199407085776329
1700604866.26419,2220,0.030896546319127083
1700604899.2911863,2240,0.030539052560925484
1700604932.041256,2260,0.031497448682785034
1700604964.5686264,2280,0.03154339641332626
1700604997.0690413,2300,0.03175925090909004
1700605029.4649022,2320,0.03219261392951012
1700605062.3285954,2340,0.02944941073656082
1700605094.8001382,2360,0.03184419497847557
1700605126.8489718,2380,0.031660061329603195
1700605170.6766217,2400,0.02967049367725849
1700605203.198471,2420,0.030108461156487465
1700605236.6107068,2440,0.02956552430987358
1700605269.2836435,2460,0.030321156606078148
1700605302.7390773,2480,0.029493184760212898
1700605365.8495991,2500,0.0320834219455719
1700605396.6581209,2520,0.030039455741643906
1700605429.3039749,2540,0.03373716399073601
1700605461.4572787,2560,0.02949044480919838
1700605494.0159047,2580,0.033413272351026535
1700605526.9197621,2600,0.03095158562064171
1700605559.5879083,2620,0.03140765428543091
1700605591.988596,2640,0.028306588530540466
1700605625.0178905,2660,0.03116288222372532
1700605657.434425,2680,0.03132098540663719
1700605689.708197,2700,0.03105483576655388
1700605722.482414,2720,0.03008745238184929
1700605754.702778,2740,0.0294722318649292
1700605787.5689414,2760,0.03193557262420654
1700605820.117054,2780,0.029958680272102356
1700605853.397272,2800,0.030699022114276886
1700605885.59149,2820,0.03261984884738922
1700605923.721222,2840,0.030019238591194153
1700605955.8160477,2860,0.03102422133088112
1700605987.0013206,2880,0.02891492284834385
1700606018.347986,2900,0.03145301714539528
1700606050.664911,2920,0.030865218490362167
