Wall time,Step,Value
1725144531.600584,0,0.6662876605987549
1725144575.6839635,20,0.5314884185791016
1725144639.2995243,40,0.5086603760719299
1725144724.2330198,60,0.5040856599807739
1725144786.6682472,80,0.48417747020721436
1725144893.6575496,100,0.48327964544296265
1725144937.5247936,120,0.4753280580043793
1725145006.2466798,140,0.459774911403656
1725145083.28294,160,0.4200953543186188
1725145145.9943676,180,0.41070395708084106
1725145253.2436283,200,0.4082205891609192
1725145299.155568,220,0.3838113844394684
1725145364.3039076,240,0.3823697865009308
1725145439.2246232,260,0.3664683699607849
1725145501.9023285,280,0.3588561415672302
1725145608.0549207,300,0.35116758942604065
1725145655.0009644,320,0.3227609694004059
1725145714.9043832,340,0.3134259581565857
1725145795.782522,360,0.30411380529403687
1725145858.733043,380,0.30235591530799866
1725145960.4667099,400,0.2935076951980591
1725146005.528936,420,0.27089837193489075
1725146071.6367564,440,0.2718447744846344
1725146158.3704648,460,0.24821551144123077
1725146214.5874379,480,0.24771764874458313
1725146322.2645738,500,0.2287600040435791
1725146369.4157789,520,0.2146049439907074
1725146431.8030522,540,0.21924884617328644
1725146506.9722195,560,0.20421341061592102
1725146567.0868516,580,0.19309307634830475
1725146669.9552455,600,0.18593934178352356
1725146715.2782555,620,0.18053478002548218
1725146775.0828555,640,0.16916687786579132
1725146853.605311,660,0.1680690348148346
1725146912.5697215,680,0.15747442841529846
1725147014.7217872,700,0.15210813283920288
1725147056.969473,720,0.14151394367218018
1725147118.0409615,740,0.1337609887123108
1725147196.93546,760,0.1282690465450287
1725147257.019157,780,0.1223519966006279
1725147358.9654684,800,0.11694313585758209
1725147402.5158165,820,0.11039245128631592
1725147463.232191,840,0.10279713571071625
1725147545.9678159,860,0.0972951352596283
1725147608.2295508,880,0.09245406091213226
1725147695.0372844,900,0.09110710024833679
1725147759.6036372,920,0.08695954084396362
1725147820.3888805,940,0.08093154430389404
1725147899.8076546,960,0.08031395077705383
1725147963.3431895,980,0.07437482476234436
1725148064.3566496,1000,0.07425001263618469
1725148105.5539572,1020,0.06846955418586731
1725148170.8456051,1040,0.06787347793579102
1725148251.475182,1060,0.0629156157374382
1725148312.47818,1080,0.061462126672267914
1725148414.476543,1100,0.05960022658109665
1725148457.1747139,1120,0.05685897171497345
1725148518.2100356,1140,0.05482136458158493
1725148600.4852595,1160,0.05220533534884453
1725148659.9805448,1180,0.05145592987537384
1725148761.2446558,1200,0.0483270063996315
1725148804.0330148,1220,0.048532042652368546
1725148864.4509487,1240,0.04738985374569893
1725148945.8659883,1260,0.04549340158700943
1725149009.7393162,1280,0.0426565557718277
