"Step","ancient-microwave-8 - val_loss","ancient-microwave-8 - val_loss__MIN","ancient-microwave-8 - val_loss__MAX"
"306","53.26730951465321","53.26730951465321","53.26730951465321"
"612","37.23436661716882","37.23436661716882","37.23436661716882"
"918","15.303818470218427","15.303818470218427","15.303818470218427"
"1224","12.996181577974367","12.996181577974367","12.996181577974367"
"1530","6.324958191223416","6.324958191223416","6.324958191223416"
"1836","3.5626285351892384","3.5626285351892384","3.5626285351892384"
"2142","1.884432838692784","1.884432838692784","1.884432838692784"
"2448","1.4178131935435259","1.4178131935435259","1.4178131935435259"
"2754","2.141962089996745","2.141962089996745","2.141962089996745"
"3060","1.534261221987497","1.534261221987497","1.534261221987497"
"3366","1.3420083639460527","1.3420083639460527","1.3420083639460527"
"3672","1.275858577990447","1.275858577990447","1.275858577990447"
"3978","1.497504774573859","1.497504774573859","1.497504774573859"
"4284","1.2857219358355974","1.2857219358355974","1.2857219358355974"
"4590","1.241697309916554","1.241697309916554","1.241697309916554"
"4896","1.2465697225726797","1.2465697225726797","1.2465697225726797"
"5202","0.9679114555548943","0.9679114555548943","0.9679114555548943"
"5508","1.0880966390154965","1.0880966390154965","1.0880966390154965"
"5814","1.060048009683229","1.060048009683229","1.060048009683229"
"6120","0.9590708312190724","0.9590708312190724","0.9590708312190724"
"6426","0.9188221870155945","0.9188221870155945","0.9188221870155945"
"6732","1.0810742976402472","1.0810742976402472","1.0810742976402472"
