"Step","ancient-microwave-8 - train_loss","ancient-microwave-8 - train_loss__MIN","ancient-microwave-8 - train_loss__MAX"
"1","214.80831909179688","214.80831909179688","214.80831909179688"
"2","339.9005126953125","339.9005126953125","339.9005126953125"
"3","1152.5294189453125","1152.5294189453125","1152.5294189453125"
"4","795.269287109375","795.269287109375","795.269287109375"
"5","1673.3870849609375","1673.3870849609375","1673.3870849609375"
"6","457.29412841796875","457.29412841796875","457.29412841796875"
"7","551.3826293945312","551.3826293945312","551.3826293945312"
"8","733.9603271484375","733.9603271484375","733.9603271484375"
"9","618.2117309570312","618.2117309570312","618.2117309570312"
"10","343.934326171875","343.934326171875","343.934326171875"
"11","351.6737060546875","351.6737060546875","351.6737060546875"
"12","589.4346313476562","589.4346313476562","589.4346313476562"
"13","273.2265625","273.2265625","273.2265625"
"14","266.7398681640625","266.7398681640625","266.7398681640625"
"15","628.1426391601562","628.1426391601562","628.1426391601562"
"16","453.1213073730469","453.1213073730469","453.1213073730469"
"17","384.9395751953125","384.9395751953125","384.9395751953125"
"18","486.2331848144531","486.2331848144531","486.2331848144531"
"19","502.51434326171875","502.51434326171875","502.51434326171875"
"20","223.71481323242188","223.71481323242188","223.71481323242188"
"21","344.42681884765625","344.42681884765625","344.42681884765625"
"22","429.6287536621094","429.6287536621094","429.6287536621094"
"23","259.4932556152344","259.4932556152344","259.4932556152344"
"24","237.16116333007812","237.16116333007812","237.16116333007812"
"25","265.0488586425781","265.0488586425781","265.0488586425781"
"26","279.8807373046875","279.8807373046875","279.8807373046875"
"27","263.11834716796875","263.11834716796875","263.11834716796875"
"28","271.37493896484375","271.37493896484375","271.37493896484375"
"29","222.0027618408203","222.0027618408203","222.0027618408203"
"30","329.67498779296875","329.67498779296875","329.67498779296875"
"31","184.33189392089844","184.33189392089844","184.33189392089844"
"32","118.63286590576172","118.63286590576172","118.63286590576172"
"33","129.9907989501953","129.9907989501953","129.9907989501953"
"34","153.5960235595703","153.5960235595703","153.5960235595703"
"35","94.96131134033203","94.96131134033203","94.96131134033203"
"36","121.60167694091797","121.60167694091797","121.60167694091797"
"37","161.1519317626953","161.1519317626953","161.1519317626953"
"38","110.36082458496094","110.36082458496094","110.36082458496094"
"39","110.7709732055664","110.7709732055664","110.7709732055664"
"40","145.00929260253906","145.00929260253906","145.00929260253906"
"41","94.56157684326172","94.56157684326172","94.56157684326172"
"42","163.8047637939453","163.8047637939453","163.8047637939453"
"43","135.353515625","135.353515625","135.353515625"
"44","145.5411376953125","145.5411376953125","145.5411376953125"
"45","154.76210021972656","154.76210021972656","154.76210021972656"
"46","125.72744750976562","125.72744750976562","125.72744750976562"
"47","152.25180053710938","152.25180053710938","152.25180053710938"
"48","169.91079711914062","169.91079711914062","169.91079711914062"
"49","88.7957992553711","88.7957992553711","88.7957992553711"
"50","149.85079956054688","149.85079956054688","149.85079956054688"
"51","110.35211944580078","110.35211944580078","110.35211944580078"
"52","98.64631652832031","98.64631652832031","98.64631652832031"
"53","135.44473266601562","135.44473266601562","135.44473266601562"
"54","97.53113555908203","97.53113555908203","97.53113555908203"
"55","97.1025390625","97.1025390625","97.1025390625"
"56","97.96378326416016","97.96378326416016","97.96378326416016"
"57","67.14286804199219","67.14286804199219","67.14286804199219"
"58","98.943359375","98.943359375","98.943359375"
"59","79.87774658203125","79.87774658203125","79.87774658203125"
"60","91.92070770263672","91.92070770263672","91.92070770263672"
"61","73.77971649169922","73.77971649169922","73.77971649169922"
"62","167.94491577148438","167.94491577148438","167.94491577148438"
"63","85.61856079101562","85.61856079101562","85.61856079101562"
"64","92.25228881835938","92.25228881835938","92.25228881835938"
"65","129.28497314453125","129.28497314453125","129.28497314453125"
"66","119.34257507324219","119.34257507324219","119.34257507324219"
"67","149.00596618652344","149.00596618652344","149.00596618652344"
"68","163.06007385253906","163.06007385253906","163.06007385253906"
"69","221.60235595703125","221.60235595703125","221.60235595703125"
"70","151.5355224609375","151.5355224609375","151.5355224609375"
"71","65.09176635742188","65.09176635742188","65.09176635742188"
"72","128.81829833984375","128.81829833984375","128.81829833984375"
"73","123.92503356933594","123.92503356933594","123.92503356933594"
"74","156.7376251220703","156.7376251220703","156.7376251220703"
"75","104.6675796508789","104.6675796508789","104.6675796508789"
"76","85.418212890625","85.418212890625","85.418212890625"
"77","105.62469482421875","105.62469482421875","105.62469482421875"
"78","72.46332550048828","72.46332550048828","72.46332550048828"
"79","97.52224731445312","97.52224731445312","97.52224731445312"
"80","68.69548034667969","68.69548034667969","68.69548034667969"
"81","94.53340911865234","94.53340911865234","94.53340911865234"
