"Step","likely-pyramid-31 - valid_loss","likely-pyramid-31 - valid_loss__MIN","likely-pyramid-31 - valid_loss__MAX"
"306","97.88328792531296","97.88328792531296","97.88328792531296"
"613","25.286920130040723","25.286920130040723","25.286920130040723"
"920","12.620482824875367","12.620482824875367","12.620482824875367"
"1227","7.1186196133759525","7.1186196133759525","7.1186196133759525"
"1534","6.375769828986443","6.375769828986443","6.375769828986443"
"1841","5.217372252847801","5.217372252847801","5.217372252847801"
"2148","4.914000456867694","4.914000456867694","4.914000456867694"
"2455","4.927430213982524","4.927430213982524","4.927430213982524"
"2762","4.658218361728981","4.658218361728981","4.658218361728981"
"3069","4.323341143937298","4.323341143937298","4.323341143937298"
"3376","4.234875332842518","4.234875332842518","4.234875332842518"
"3683","4.252188597709683","4.252188597709683","4.252188597709683"
"3990","4.2145786293885035","4.2145786293885035","4.2145786293885035"
"4297","4.360967264480863","4.360967264480863","4.360967264480863"
"4604","4.029858953163717","4.029858953163717","4.029858953163717"
"4911","4.077429135074819","4.077429135074819","4.077429135074819"
"5218","3.940767070152581","3.940767070152581","3.940767070152581"
"5525","3.9836191842564483","3.9836191842564483","3.9836191842564483"
"5832","4.059183293814336","4.059183293814336","4.059183293814336"
"6139","3.896944333650039","3.896944333650039","3.896944333650039"
"6446","3.867267872515098","3.867267872515098","3.867267872515098"
"6753","3.8574410053334627","3.8574410053334627","3.8574410053334627"
"7060","3.916307743758069","3.916307743758069","3.916307743758069"
"7367","3.765807285003391","3.765807285003391","3.765807285003391"
"7674","3.768225974459665","3.768225974459665","3.768225974459665"
"7981","3.706728947120205","3.706728947120205","3.706728947120205"
"8288","3.7045901704089075","3.7045901704089075","3.7045901704089075"
"8595","3.663657089145158","3.663657089145158","3.663657089145158"
